MID,IncidentID,SourceName,Date,SourceInfo
3564,3564028,AFP,9/7/93,9/7/93
3564,3564029,UPI,9/3/94,9/3/94 General
3564,3564029,AFP,9/4/93,9/4/93 (1)
3564,3564029,AFP,9/4/93,9/4/93 (2)
3564,3564029,LONDIND,9/4/93,9/4/93 p8
3564,3564029,XGNS,9/3/93,9/3/93
3564,3564030,UPI,9/3/93,9/3/93 General
3564,3564030,AFP,9/3/93,9/3/93
3564,3564030,AFP,9/4/93,9/4/93
3564,3564030,XGNS,9/3/93,9/3/93
3564,3564033,AFP,9/7/93,9/7/93
3564,3564033,AFP,9/4/93,9/4/93 (1)
3564,3564033,AFP,9/4/93,9/4/93 (2)
3564,3564033,TSTAR,9/5/93,9/5/93 pA12
3564,3564033,XGNS,9/4/93,9/4/93
3564,3564033,AP,9/4/93,9/4/93 AM
3564,3564033,LONDIND,9/5/93,9/5/93 p12
3564,3564016,LATIMS,1/5/93,"January 5, 1993 Part A; Page 4; Column 4; Foreign Desk"
3564,3564032,NYT,9/4/93,"September 4, 1993 Section 1; Page 5; Column 4; Foreign Desk"
3564,3564032,LONDIND,9/4/93,"September 4, 1993 International News Page; Page 8"
3564,3564032,TSTAR,9/5/93,"September 5, 1993 News; Pg. A12"
3564,3564035,TSTAR,9/5/93,"September 5, 1993 News; Pg. A12"
3564,3564036,LONDT,9/7/93,"September 7, 1993 International; Pg. 13"
3564,3564036,LONDIND,9/8/93,"September 8, 1993 International News Page; Pg. 12"
3564,3564025,LONGD,8/19/93,"Ausgust 19, 1993 The Guardian Foreign Page; Pg. 6"
3564,3564020,TSTAR,4/5/93,"April 5, 1993 News; Pg. A11"
3564,3564020,LONDIND,4/5/93,"April 5, 1993 International News Page; Page 12"
3564,3564020,THE HERALD (GLASGOW),4/5/93,"April 5, 1993 Pg. 4"
3564,3564020,THE PLAIN DEALER,4/6/93,"April 6, 1993 National; Pg. 4D"
3564,3564020,LATIMS,4/6/93,"April 6, 1993 Part A; Page 10; Column 2; Foreign Desk"
3564,3564020,LONDT,4/6/93,"April 6, 1993 International; Pg. 15"
3564,3564020,LONDIND,4/7/93,"April 7, 1993 International News Page; Page 12"
3564,3564020,THE HERALD (GLASGOW),4/7/93,"April 7, 1993 Pg. 4"
3564,3564020,LONGD,4/7/93,"April 7, 1993 The Guardian Foreign Page; Pg. 10"
3564,3564001,BBC Summary of World Broadcasts.,1/29/92,"January 29, 1992. Part 1 USSR."
3564,3564002,The Independent (london),2/23/92,"February 23, 1992. Foreign News page; page 15."
3564,3564002,The Daily Telegraph,2/24/92,"February 24, 1992. International. page 8."
3564,3564002,BBC Summary of World Broadcasts.,2/24/92,"February 24, 1992. Part 1 The USSR."
3564,3564002,BBC Summary of World Broadcasts.,2/25/92,"February 25, 1992. Part 1 The USSR."
3564,3564003,The Independent (London),2/27/92,"February 27, 1992. Foreign News Page; Page 12."
3564,3564003,BBC Summary of World Broadcasts.,2/28/92,"February 28, 1992. Part 1 The USSR."
3564,3564003,The Independent (London),3/8/92,"March 8, 1992. Title Page; Page 1."
3564,3564004,BBC Summary of World Broadcasts.,4/27/92,"April 27, 1992. Part 1 The USSR."
3564,3564004,Agence France Presse.,4/24/92,"April 24, 1992. Domestic News."
3564,3564004,BBC Summary of World Broadcasts.,4/29/92,"April 29, 1992. Part 1 The USSR."
3564,3564005,Agence France Presse.,5/6/92,"May 6, 1992. News."
3564,3564006,"The Russian Information Agency, TASS.",5/8/92,"May 8, 1992."
3564,3564006,Agence France Presse.,5/9/92,"May 9, 1992. News."
